Case # 1 resp;;;;
 Atopic dermatitis; urticaria; atopic eczema;;
 Contact irritant dermatitis; atopic dermatitis; xerosis cutis;;
 Psoriasis; scabies;contact dermatitis;;
; tinea capitis;;;
; tinea pedis;;;
; contact dermatitis;;;
;;;;
;;;;
Case # 30 Derma;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Infectious Folliculitis; rosacea; impetigo;; Acne vulgaris
 Pseudofolliculitis barbae; cat scratch disease; rosacea;;
 Acne vulgaris;cushing syndrome; Acne vulgaris;;
; anemia; perioral dermatitis;;
; acne vulgaris; stye;;
; sunburn;;;
;;;;
Case # 11 GI;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Acute cholangitis;acute cholecystitis;bile duct infection;;
 Acute cholecystitis;viral hepatitis;acute pancreatitis;;
 Hepatitis;dengue fever;acute cholecystitis;;
 Acute pancreatitis;acute pancreatitis; Cholelithiasis;;
 Cholelithiasis;liver cirrhosis;cryptosporidium infection;;
;acute viral gastroenteritis;;;
;;;;
;;;;
Case # 12 GI;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Acute cholecystitis;acute pacreatitis; Acute cholecystitis;;
 Acute cholangitis;acute appendicitis;acute pancreatitis;;
 Acute pancreatitis;acute cholecystitis; Cholelithiasis;;
 Cholelithiasis;peptic ulcer disease;;;
 Hepatitis;cholelithiasis;;;
;viral hepatitis;;;
;;;;
;;;;
;;;;
Case # 13 Resp;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
;pulmonary edema;COPD;COVID-19;upper respiratory infection
 COPD;asthma;pneumonia;;acute bronchitis
 Acute bronchitis;COPD;acute left heart failure;;COPD
 Asthma;acute bronchitis;asthma;;pneumonia
 Pulmonary edema;pneumonia;acute respiratory failure;;
 Common cold;pulmonary embolism;;;
;;;;
;;;;
;;;;
Case # 14 Resp;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 COVID-19; COVID-19; COVID-19;;influenza
 Influenza;common cold;pneumonia;;upper respiratory infection
 Pneumonia;influenza;influenza;;COPD
 Acute bronchitis;pneumonia;;;pneumonia
 Common cold;acute acute pericarditis;;;
;COPD;;;
;;;;
;;;;
;;;;
Case # 15 Cardio;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Abdominal aortic aneurysm;myocardianl infarction;abdominal aortic aneurysm;sepsis;general abdominal pain
 Acute mesenteric ischemia;peptic ulcer disease;;;hernia
;acute pancreatitis;;;kidney stones
;acute mesenteric ischemia;;;
;abdominal aortic aneurysm;;;
;mallory weiss syndrome;;;
;;;;
;;;;
;;;;
Case # 16 GI;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Acute pancreatitis;acute pancreatitis;acute pancreatitis;;acute pancreatitis
 Acute cholecystitis;small bowel obstruction;acute appendicitis;; Acute cholecystitis
 Gastritis;peptic ulcer disease;ruptured abdominal aortic aneurysm;;kidney stones
 Peptic ulcer disease;acute mesenteric ischemia;campylobacter gastroenteritis;;
 Chronic pancreatitis;chronic pancreatitis;acute mesenteric ischaemia;;
;;;;
;;;;
;;;;
Case # 17 GI;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Cholelithiasis;acute pancreatitis; Cholelithiasis;; Acute cholecystitis
 Acute cholecystitis;peptic ulcer disease; Acute cholecystitis;;acute gastritis
 Acute pancreatitis;cholelithiasis;viral stomach bug in adults;;appendicitis
 Acute cholangitis;acute appendicitis;acute gastritis;;bowel obstruction
;acute liver failure;kiddney stones;;
;acute cholecystitis;;;
;;;;
;;;;
;;;;
;;;;
Case # 18 Resp;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Pneumonia;pneumonia;pneumonia;;pneumonia
 Acute bronchitis;pericardial effusion;coronavirus 2019;;influenza
 Influenza;acute bronchitis;COPD;;acute bronchitis
 Common cold;pulomonary embolism;acute bronchitis;;
;coronavirus 2019;unstable angina pectoris;;
;pulomonary edema;;;
;;;;
;;;;
;;;;
Case # 19 GI;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Cholera;cholera;viral stomach bug in children;;
 Acute gastroenteritis;food poisoning; Acute gastroenteritis;;
 Food poisoning; Acute gastroenteritis;salmonella gastroenteritis;;
;celiac disease;E.coli gastroenteritis;;
;cronkhite canada syndrome;;;
;liver cirrhosis;;;
;;;;
;;;;
;;;;
Case # 20 Endo;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Acanthosis nigricans;;pityriasis versicolor;;
 Diabetes Mellitus;;seborrheic keratosis;;
 PCOS;;miliaria crystallina;;
 Tinea versicolor;;mulluscum contagiosum;;
;;prickly heat;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 31 Derma;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
Genital warts;condyloma lata;genital warts;;genital warts
Condyloma Lata;genital warts;scabies;;sexually transmitted disease
Herpes simplex virus;;ganuloma inguinale;;condyloma lata
;;lymphogrananuloma venereum;;herpes simplex virus
;;primary syphilis;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 32 GI;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
Cystic Fibrosis;celiac disease;celiac disease;;crohns disease
Chronic pancreatitis;cronkhite canda syndrome;tropical sprue;;irritable bowel syndrome
Protein losing enteropathy;multiple sclerosis;giardiasis;;
Celiac disease;inflammatory bowel disease;viral stomach;;
;acute bacterial gastroenteritis;short bowel syndrome;;
;;;;
;;;;
;;;;
Case # 33 Hematology;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Iron deficiency anemia;iron deficiency anemia;iron deficiency anaemia;;iron deficiency anemia
 Thalassemia;thalassemia;mitral regurgitation;;fatigue
;heart failure;mitral valve prolapse;;
;;pulmonary regurgitation;;
;;mitral stenosis;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 34 Hematology;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Thalassemia; Sickle cell anemia;iron deficiency anemia;;iron deficiency anemia
 Sickle cell anemia;valvular heart disease;pulmonary regurgitation;;fatigue
 Iron deficiency anemia;heart failure;chronic insomnia;;
;valvular heart disease;mitral regurgitation;;
;polycythemia vera;mitral valve prolapse;;
;pericardial effusion;;;
;;;;
;;;;
;;;;
;;;;
Case # 35 GI;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Celiac disease;celiac disease;viral stomach in children;;
 Intestinal obstruction;intestinal obstruction;acute gastritis;;
 Irritable bowel syndrome;acute pancreatitis;acute pancreatitis;;
;peptic ulcer disease;acute appendicitis;;
;acute cholecystitis;food allergy;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 36 GI;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Cholelithiasis;cholelithiasis; Acute cholecystitis;;acute pancreatitis
 Acute cholecystitis;acute pancreatitis;fitz-hugh curtis syndrome;;acute cholecystitis
 Acute cholangitis;acute cholangitis;acute cholangitis;;acute cholangitis
 Acute pancreatitis;peptic ulcer disease;acute hepatitis b;;
;acute appendicitis;liver abscess;;
;acute cholecystitis;;;
;;;;
;;;;
;;;;
;;;;
Case # 37 Endo;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Cushing syndrome;cushing syndrome;hashimoto thyroditis hypothyroidism;dysfunctional uterine bleeding;hypothyroidism
 Metabolic syndrome;polycystic ovary syndrome;graves disease;polycystic ovary syndrome;fibromyalgia
 polycystic ovary syndrome;acromegaly;polycystic ovary syndrome;perimenopausal;
;;cushing syndrome;hyperthyroidism;
;;premature ovarian insuffciency;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 38 Endo;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Diabetic nephropathy;;diabetic renal disease;;
 Nephrotic syndrome;;minimal change glomerulonephritis;;
 Heart failure;;varicose veins;;
 Renal artery stenosis;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 39 Endo;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Primary ovarian failure;premature menopause;polycystic ovary syndrome;;hypothyroidism
 polycystic ovary syndrome;;prolactinoma;;graves disease
 Pituitary tumor;;hashimoto thyroiditis;;
;;primary ovarian failure;;
;;cushing syndrome;;
;;;;
;;;;
;;;;
Case # 40 Endo;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Acromegaly;rheumatoid arthritis;sarcoidosis;;gout
;gout;septic arthritis;;septic arthritis
;osteoarthritis;reactive arthritis;;
;anemia;gout;;
;rehumatic fever;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 51;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Hypothyroidism; Hashimoto thyroiditis; Hashemoto's Thyroiditis;; Hypothyroidism
 Hashimoto thyroiditis; Brain Tumor; Mild Depression;; Premenstrual Syndrome
; Premenstrual Period; Hypothyroidism;; Hashemoto's Thyroiditis
; Multiple Sclerosis; Chronic Insomnia;;
; Acromegaly; Adjustment Disorder;;
;;;;
;;;;
Case # 52;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Brucellosis; Osteomyelitis; Malaria;; SLE
 Cat scratch disease; SLE; Heart Valve Infection;; Rheumatoid Arthritis
; Brucellosis; Secondary Syphilis;;
; Cat Scratch Disease; Tick-borne relapsing fever;;
; Rheumatic Fever; Heart Muscle Inflammation;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 53;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 mononucleosis; mononucleosis; mononucleosis;; Strep Pharyngitis
 tonsillopharyngitis; Tonsillopharyngitis; Herpangia;; Viral Pharyngitis
; HIV; Scarlet Fever;;
; Cat Scratch Disease; Flu;;
; Herpetic Whitlow; Tonsollitis;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 54;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Mumps; Mumps; Mumps;; Temporomandibular Joint Dysfuntion
 Dental abscess; Osteomyelitis; Parotitis;; Parotitis
 Mastoiditis;; Ludwig's Angina;; Trigeminal Neuralgia
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 55;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Myasthenia Gravis; Multile Sclerosis; Hyperopia;; Myopia
 Lambert Eaton Myasthenic syndrome; Myasthenia Gravis; Astagmatism;; Hyperopia
 Chronic Fatigue Syndrome;; Low Blood Sugar;;
;; Post-concussion Syndrome;;
;; Multiple Sclerosis;;
;;;;
;;;;
;;;;
;;;;
Case # 56;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Corneal abrasion; Corneal Abrasion; Eyeball Injury;; Corneal Abrasion
 Corneal Foreign body; Bacterial Conjunctivitis; Corneal Abrasion;; Conjuctivitis
 Corneal laceration; Nasolacrimal Duct Obstruction; Corneal Ulcer;;
; Viral Conjunctivitis;;;
; Chalazion;;;
;;;;
;;;;
;;;;
Case # 57;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Nephrotic Syndrome; Cushing Syndrome; Orbital Fracture;; Bacterial Skin Infection
 Nephritic Syndrome; Nephrotic Syndrome; Eyeball Injury;; Allergic Reaction
 Minimal change disease; Nephritic Syndrome; Hay Fever;; Erysipelas
 Diabetic Nephropathy; Acute Renal Failure; Peri-orbital Cellulitis;;
;; Bruising Around the Eye;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 58;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Cystitis; Cystitis; Cystitis;; Cystitis
 Uncomplicated Pyelonephritis; Chlamydia; Pyelonephritis;; Pyelonephritis
; Gout; Nephrolithiasis;; Nephrolithiasis
; Nephrolithiasis;;;
; Endometriosis;;;
;;;;
;;;;
;;;;
;;;;
Case # 59;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Fibroadenoma; Fibroadenoma; Fibroadenoma;;
 Breast Cyst; Galactocele; Benign Breast Lump;;
; Fibrocystic Breasts; Breast Cancer;;
; Breast Cancer;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 60;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Endometriosis; Primary Dysmenorrhea; Endometriosis;; Endometriosis
 Adenomyosis; Secondary Dysmenorrhea; Primary Dysmenorrhoea;; Primary Dysmenorrhoea
; Adenomyosis; Chronic Pelvic Pain;;
; Endometriosis; Cervicitis;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 61;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Diverticulitis; Diverticulitis; Diverticulitis;; Diverticulitis
 Infectious colitis; Ectopic Pregnancy; Faecal Impaction;; Appendicitis
 Irritable bowel syndrome; Acute Appendicitis; Campylobacter Gastroenteritis;; Cholecystitis
 Ovarian cancer; Ovarian Cancer; Viral Gastroenteritis;; Gastroenteritis
; Peritonitis;;; Pancreatitis
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 62;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Peptic Ulcer Disease; Acute Pancreatitis; Gastric Ulcer;; Cholecystitis
 Functional dyspepsia; Peptic Ulcer Disease; Chronic Gastritis;; Gastritis
; Myocardial Infarction; Gallstones;; Peptic Ulcer Disease
; Acute Mesenteric Ischemia; Chronic Pancreatitis;; Intestinal Obstruction
; Small Bowel Obstruction; Functional Dyspepsia;;
;;;;
;;;;
;;;;
Case # 63;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Malaria; Viral Gastroenteritis; Malaria;; Gastroenteritis
 Dengue fever; Bacterial Gastroenteritis; Campylobacter Gastroenteritis;; Meningitis
 Influenza; Dengue Fever; Tick-borne Relapsing Fever;;
; Cholera; Boutonneuse Fever;;
; Food Poisoning; Viral Gastroenteritis;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 64;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Shingles; SLE; Shingles;; Shingles
 Contact dermatitis; Infective Endocarditis; Liver Abscess;; Pneumonia
; Pneumothorax; Pneumonia;;
; Rheumatic Fever;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 65;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Contact dermatitis; Contact Dermatitis; Non-specific Pruritis; Eczema; Allergic Reaction
 Psoriasis; Shingles; Sunburn; Allergic Reaction; Urticaria
 Allergic dermatitis; Scabies; Xerosis Cutis; Psoriasis; Bacterial Skin Infection
; Urticaria; Bed Bug Bite; Tinea; Herspes Simplex Virus
; Atopic Dermatitis; Polymorphous Light Eruption;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 66;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Frozen Shoulder; Rotator Cuff Injury; Rotator Cuff Impingement;; Orthopedic Shoulder Condition
 Rotator Cuff Injury; Shoulder Bursitis; Shoulder Muscle Strain;; Osteoarthritis
 Rotator Cuff Impingement; Frozen Shoulder; Frozen Shoulder;;
; Dislocated Shoulder; Superior Labral Lesion;;
; Shoulder Fracture; Osteoarthritis;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 67;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Plantar fasciitis; Plantar Fasciitis; Heel Spur;; Plantar Fasciitis
 Plantar fascia rupture;; Plantar Fasciitis;;
;; Achilles Tendinitis;;
;; Calcaneal Bursitis;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 68;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Stye; Diabetic Retinopathy; Bacterial Conjunctivitis;; Conjunctivitis
 Chalazion;; Corneal Ulcer;; Blepharitis
 Lipoma;;;; Stye
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 69;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Chalazion; Stye; Stye;; Blepharitis
 Stye; Blepharitis; Chalazion;; Stye
 Lipoma; Nasolacrimal Duct Obstruction; Eyelid Eczema;;
; Chalazion;;;
; Viral Conjunctivitis;;;
;;;;
;;;;
;;;;
Case # 70;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Bacterial conjunctivitis; Bacterial Conjunctivitis; Bacterial Conjuntivitis;; Bacterial Conjuntivitis
 Eyelid blepharitis; Corneal Abrasion; Viral Conjunctivitis;; Blepharitis
 Viral conjunctivitis; Nasolacrimal Duct Obstruction; Corneal Ulcer;; Uveitis
; Stye;;; Episcleritis
; Blepharitis;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 71;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Endometrial polyps; Endometrial Cancer; Cervicitis;; Uterine Leiomyoma
 Cervical cancer; Ectopic Pregnancy; Female Genital Injury;; Ovarian Cyst
 Endometrial cancer; Spontaneous Abortion; GU Tract Symptoms of Oestrogen Deficiency;;
 Ovarian cancer; Pregnancy; Cervical Intraepithelial Neoplasia;;
; Molar Pregnancy; Gonorrhoea;;
;;;;
;;;;
Case # 72;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Primary dysmenorrhea; Primary Dysmenorrhea; Cervicitis;; Fibroids
 Endometriosis; Adenomyosis; Chlamydia Infection;; Fibromyalgia
 Fibroids; Secondary Dysmenorrhea; Primary Dysmenorrhoea;;
; Endometriosis; Endometriosis;;
;;;;
;;;;
;;;;
Case # 73;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Bacterial vaginosis; Trichomoniasis; Vaginal candidiasis;; Vaginal candidiasis
 Vaginal candidiasis; Bacterial Vaginosis; Cervicitis;;
; Vulvovaginal Candidiasis; Bacterial Vaginosis;;
; Chlamydia;;;
; Pelvic Inflammatory Disease;;;
;;;;
;;;;
Case # 74;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Breast cancer; Mastitis; Mastitis;;
 Fibrocystic breast disease; Breast Cancer; Breast Cancer;;
 Fat necrosis; Fibrocystic Breast; Lactational Mastitis;;
; Breast Engorgement;;;
; Galactocele;;;
;;;;
;;;;
Case # 75;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Pelvic inflammatory disease; Acute Appendicitis; Acute Appendicitis;; Pyelonephritis
 Acute appendicitis; Ectopic Pregnancy; Typhlitis;; UTI
 Cystitis; Pelvic Inflammatory Disease; Pyelonephritis;;
; Primary Dysmenorrhea; Cambylobacter Gastroenteritis;;
; Secondary Dysmenorrhea; Shigella Gastroenteritis;;
;;;;
;;;;
Case # 76;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Viral conjunctivitis; Viral Conjunctivitis; Viral Conjunctivitis;; Allergic Rhinitis
 Allergic conjunctivitis; Allergic Conjunctivitis; Bacterial Conjunctivitis;; Conjunctivitis
 Eye dryness.; Bacterial Conjunctivitis; Keratitis;; Allergic Reaction
; Corneal Abrasion; Allergic Conjunctivitis;;
; Nasolacrimal Duct Obstruction;;;
;;;;
;;;;
Case # 86;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
Nephrolithiasis;nephrolithiasis;Nephrolithiasis;;
Pyelonephritis;acute pancreatitis;kidney infection;;
;peptic ulcer disease;obstructive uropathy;;
;polycystic kidney disease;;;
;acute appendicitis;;;
;renal cell carcinoma;;;
;;;;
Case # 87;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
Rosacea;rosacea;perioral dermatitis;;Acne
Systemic lupus erythematous;cushing syndrome;melasma;;Systemic lupus erythematous
Contact Dermatitis;systemic lupus erythematosus;rosacea;;
;measles;chronic urticaria;;
;urticaria;cellulitis of the face;;
;cat scratch disease;;;
;;;;
;;;;
Case # 88;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
Otitis Externa;Otitis Externa;burst ear drum;;Otitis externa
Otomycosis;earwax blockage;otitis media;;Otitis media
Contact Dermatitis;otitis media with tympanic membrane perforated;acute noise induced hearing loss;;
;otitis media with effusion;otitis externa;;
;otitis media;;;
;;;;
;;;;
;;;;
Case # 89;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
Otitis media;otitis media;otitis media;ear infection;
otitis media with effusion;otitis media with tympanic membrane perforated;burst ear drum;;N/A
Otitis Externa;otitis media with effusion;mastoiditis;;
;otitis externa;;;
;earwax blockage;;;
;tonsillopharyngitis;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 90;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
Osteoarthritis;osteoarthritis;osteoarthritis;;Orthopedic knee condition
Knee Bursitis;osteomyelitis;iliotibial band syndrome;;Osteoarthritis
Gout;hemochromatosis;patellofemoral pain syndrome;;
;hyperparathyroidism;;;
;acute interstitial nephritis;;;
;influenza;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 91;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
Osteoarthritis;rheumatoid arthritis;osteoarthritis;;Osteoarthritis
Gout;;rheumatoid arthritis;;Rheumatoid arthritis
Pseudogout;;trigger finger;;
;;;;
;;;;
;;;;
;;;;
;;;;
